# comb, run, Z, NCM, W, fPB, tidal
16, 10, 0.10, 10000, 5, 0.05, false
17, 10, 0.10, 10000, 5, 0.10, false
18, 10, 0.10, 10000, 5, 0.20, false
19, 10, 0.10, 10000, 9, 0.05, false
20, 10, 0.10, 10000, 9, 0.10, false
21, 10, 0.10, 10000, 9, 0.20, false
22, 10, 0.10, 50000, 5, 0.05, false
23, 10, 0.10, 50000, 5, 0.10, false
24, 10, 0.10, 50000, 5, 0.20, false
25, 10, 0.10, 50000, 9, 0.05, false
26, 10, 0.10, 50000, 9, 0.10, false
27, 10, 0.10, 50000, 9, 0.20, false
28, 10, 1.00, 10000, 5, 0.05, false
29, 10, 1.00, 10000, 5, 0.10, false
30, 10, 1.00, 10000, 5, 0.20, false
31, 10, 1.00, 10000, 9, 0.05, false
32, 10, 1.00, 10000, 9, 0.10, false
33, 10, 1.00, 10000, 9, 0.20, false
34, 10, 1.00, 50000, 5, 0.05, false
35, 10, 1.00, 50000, 5, 0.10, false
36, 10, 1.00, 50000, 5, 0.20, false
37, 10, 1.00, 50000, 9, 0.05, false
38, 10, 1.00, 50000, 9, 0.10, false
39, 10, 1.00, 50000, 9, 0.20, false
